,RG Description,RG Descr,REQ Description,REQ Descr,LINE Description,LINE Descr,Course ID,Subject,Catalog
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),,ECON,2###
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),,ECON,3###
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),,ECON,4###
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ENVIRONMENTAL RESOURCE MANAGEMENT CORE REQUIREMENTS,31 Units Required (RQ-64071),General Biology - Organismal Diversity,4 Units Required (LN-010),004644,BIOL,2051
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ENVIRONMENTAL RESOURCE MANAGEMENT CORE REQUIREMENTS,31 Units Required (RQ-64071),Planet Earth and Planet Earth Lab (OR Intro to Geology above),4 Units Required. (LN-050),005416,GEOG,1210
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ENVIRONMENTAL RESOURCE MANAGEMENT CORE REQUIREMENTS,31 Units Required (RQ-64071),"Evolution, Ecology and the Nature of Science",3 Units Required (LN-020),004650,BIOL,3100
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ENVIRONMENTAL RESOURCE MANAGEMENT CORE REQUIREMENTS,31 Units Required (RQ-64071),General Chemistry I,4 Units Required (LN-030),004758,CHEM,1110
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ENVIRONMENTAL RESOURCE MANAGEMENT CORE REQUIREMENTS,31 Units Required (RQ-64071),Introduction to Geology (OR Planet Earth & Lab below),4 Units Required. Will accept GEOG 1210 (970:026) and GEOG 1211 as substitutes for EARTHSCI 1300 (870:031) (LN-040),004822,EARTHSCI,1300
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ENVIRONMENTAL RESOURCE MANAGEMENT CORE REQUIREMENTS,31 Units Required (RQ-64071),Planet Earth and Planet Earth Lab (OR Intro to Geology above),4 Units Required. (LN-050),061079,GEOG,1211
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ENVIRONMENTAL RESOURCE MANAGEMENT CORE REQUIREMENTS,31 Units Required (RQ-64071),Geomorphology,4 Units Required (LN-060),004848,EARTHSCI,3330
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ENVIRONMENTAL RESOURCE MANAGEMENT CORE REQUIREMENTS,31 Units Required (RQ-64071),Geomorphology,4 Units Required (LN-060),004848,EARTHSCI,5330
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ENVIRONMENTAL RESOURCE MANAGEMENT CORE REQUIREMENTS,31 Units Required (RQ-64071),Geographic Information Systems I/ GIS I,3 Units Required (LN-070),005470,GEOG,2410
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ENVIRONMENTAL RESOURCE MANAGEMENT CORE REQUIREMENTS,31 Units Required (RQ-64071),"Financial Resource Management in Recreation, Tourism and Nonprofit Leadership",3 Units Required (LN-080),002455,RTNL,4320
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ENVIRONMENTAL RESOURCE MANAGEMENT CORE REQUIREMENTS,31 Units Required (RQ-64071),Environmental Resource Management,3 Units Required (LN-090),062343,GEOG,2260
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ENVIRONMENTAL RESOURCE MANAGEMENT CORE REQUIREMENTS,31 Units Required (RQ-64071),U.S. Environmental History,3 Units Required (LN-100),060306,HIST,4170
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ENVIRONMENTAL RESOURCE MANAGEMENT CORE REQUIREMENTS,31 Units Required (RQ-64071),U.S. Environmental History,3 Units Required (LN-100),060306,HIST,5170
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ECOSYSTEMS TRACK REQUIRED COURSES,11-12 Units Required (RQ-64614),General Chemistry II,4 Units Required (LN-010),004759,CHEM,1120
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ECOSYSTEMS TRACK REQUIRED COURSES,11-12 Units Required (RQ-64614),Precalculus or Statistics,3-4 Units Required (LN-020),004313,MATH,1140
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ECOSYSTEMS TRACK REQUIRED COURSES,11-12 Units Required (RQ-64614),Precalculus or Statistics,3-4 Units Required (LN-020),004323,STAT,1772
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ECOSYSTEMS TRACK REQUIRED COURSES,11-12 Units Required (RQ-64614),Ecology,4 Units Required (LN-030),004704,BIOL,4168
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ECOSYSTEMS TRACK REQUIRED COURSES,11-12 Units Required (RQ-64614),Ecology,4 Units Required (LN-030),004704,BIOL,5168
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category A - Content Management Related Courses,1 Course Required (LN-010),004655,BIOL,4105
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category A - Content Management Related Courses,1 Course Required (LN-010),061043,BIOL,4108
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category A - Content Management Related Courses,1 Course Required (LN-010),004703,BIOL,4167
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category A - Content Management Related Courses,1 Course Required (LN-010),004716,BIOL,4180
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category A - Content Management Related Courses,1 Course Required (LN-010),004655,BIOL,5105
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category A - Content Management Related Courses,1 Course Required (LN-010),061043,BIOL,5108
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category A - Content Management Related Courses,1 Course Required (LN-010),004703,BIOL,5167
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),004706,BIOL,3170
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category A - Content Management Related Courses,1 Course Required (LN-010),004716,BIOL,5180
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),063974,BIOL,3109
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),004699,BIOL,3160
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),004697,BIOL,4157
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),004701,BIOL,4164
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),004708,BIOL,4172
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),063974,BIOL,5109
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),004697,BIOL,5157
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),005476,GEOG,4320
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),004701,BIOL,5164
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),004708,BIOL,5172
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),062547,GEOG,4310
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),062547,GEOG,5310
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category B - Content Related Courses,1 Course Required (LN-020),005476,GEOG,5320
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",004715,BIOL,3179
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",004820,EARTHSCI,1200
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",004870,EARTHSCI,3430
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",003743,ENGLISH,4785
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",003743,ENGLISH,5785
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",005417,GEOG,2210
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",005453,GEOG,2240
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",005479,GEOG,3179
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",005424,GEOG,3220
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",005459,GEOG,4270
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",005444,GEOG,4220
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",005464,GEOG,4240
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",005484,GEOG,4250
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",005475,GEOG,4370
ADVSR,ENVIRONMENTAL RESOURCE MANAGEMENT BA - ECOSYSTEMS (2024-present) 97LBA,62-63 Units Required (RG-62003),ELECTIVES,"Choose at least 1 course from each category: A, B, and C. 20 Units Required (RQ-64615)",Category C - Cognates,"1 Course Required. No more than 3 units from Internship BIOL 3179, GEOG 3179, EARTHSCI 3430, LYHS 4095, HPE 4768 applied to major. (LN-030)",005444,GEOG,5220
